Order_ID,Order_Date,Customer_ID,Product,Category,Region,Quantity,Unit_Price,Total_Price,Payment_Method
1001,2024-01-03,C001,Wireless Mouse,Electronics,West,2,25.99,51.98,Credit Card
1002,2024/01/05,C002,Office Chair,Furniture,East,1,149.99,149.99,PayPal
1003,2024-01-05,C003,Notebook,Stationery,west,5,2.5,12.5,Credit Card
1004,2024-01-07,C004,Laptop,Electronics,South,1,899.99,899.99,Debit Card
1005,2024-01-07,C005,Pen,Stationery,North,10,1.2,12.0,Credit Card
1006,2024-01-08,C006,Desk,Furniture,East,1,199.99,199.99,PayPal
1007,2024-01-09,C007,Monitor,Electronics,West,2,129.99,259.98,Credit Card
1008,2024-01-10,C008,Notebook,Stationery,South,3,2.5,7.5,Cash
1009,2024-01-10,C009,Wireless Keyboard,Electronics,North,1,45.99,45.99,Credit Card
1010,2024-01-11,C010,Pen,Stationery,East,20,1.2,24.0,Debit Card
1011,2024-01-12,C011,Desk,Furniture,west,1,199.99,199.99,Credit Card
1012,2024-01-12,C012,Laptop,Electronics,South,1,899.99,899.99,PayPal
1013,2024-01-13,C013,Office Chair,Furniture,North,1,149.99,149.99,Credit Card
1014,2024-01-14,C014,Notebook,Stationery,East,4,2.5,10.0,Cash
1015,2024-01-15,C015,Monitor,Electronics,South,1,129.99,129.99,Debit Card
1016,2024-01-15,C016,Wireless Mouse,Electronics,West,3,25.99,77.97,Credit Card
1017,2024-01-16,C017,Pen,Stationery,North,15,1.2,18.0,PayPal
1018,2024-01-17,C018,Desk,Furniture,South,1,199.99,199.99,Credit Card
1019,2024-01-17,C019,Laptop,Electronics,East,1,899.99,899.99,Debit Card
1020,2024-01-18,C020,Notebook,Stationery,West,2,2.5,5.0,Credit Card
1021,2024-01-18,C021,Office Chair,Furniture,South,1,149.99,149.99,PayPal
1022,2024-01-19,C022,Monitor,Electronics,North,2,129.99,259.98,Credit Card
1023,2024-01-20,C023,Pen,Stationery,East,25,1.2,30.0,Cash
1024,2024-01-20,C024,Desk,Furniture,West,1,199.99,199.99,Debit Card
1025,2024-01-21,C025,Wireless Keyboard,Electronics,South,1,45.99,45.99,Credit Card
1026,2024-01-21,C026,Notebook,Stationery,North,6,2.5,15.0,PayPal
1027,2024-01-22,C027,Laptop,Electronics,East,1,899.99,899.99,Credit Card
1028,2024-01-22,C028,Pen,Stationery,west,30,1.2,36.0,Debit Card
1029,2024-01-23,C029,Monitor,Electronics,South,1,129.99,129.99,Credit Card
1030,2024-01-23,C030,Desk,Furniture,North,1,199.99,199.99,PayPal
1031,2024-01-24,C031,Wireless Mouse,Electronics,East,2,25.99,51.98,Credit Card
1032,2024-01-24,C032,Office Chair,Furniture,South,1,149.99,149.99,Cash
1033,2024-01-25,C033,Notebook,Stationery,North,3,2.5,7.5,Debit Card
1034,2024-01-25,C034,Pen,Stationery,East,40,1.2,48.0,Credit Card
1035,2024-01-26,C035,Laptop,Electronics,West,1,899.99,899.99,PayPal
1036,2024-01-26,C036,Monitor,Electronics,South,2,129.99,259.98,Credit Card
1037,2024-01-27,C037,Desk,Furniture,East,1,199.99,199.99,Debit Card
1038,2024-01-27,C038,Wireless Keyboard,Electronics,North,1,45.99,45.99,Credit Card
1039,2024-01-28,C039,Pen,Stationery,South,20,1.2,24.0,PayPal
1040,2024-01-28,C040,Notebook,Stationery,West,5,2.5,12.5,Cash
1041,2024-01-29,C041,Office Chair,Furniture,North,1,149.99,149.99,Credit Card
1042,2024-01-29,C042,Wireless Mouse,Electronics,East,1,25.99,25.99,Debit Card
1043,2024-01-30,C043,Laptop,Electronics,South,1,899.99,899.99,Credit Card
1044,2024-01-30,C044,Desk,Furniture,West,1,199.99,199.99,PayPal
1045,2024-01-31,C045,Pen,Stationery,East,50,1.2,60.0,Credit Card
1046,2024-01-31,C046,Monitor,Electronics,North,1,129.99,129.99,Debit Card

# Duplicate + messy rows below
1003,2024-01-05,C003,Notebook,Stationery,West,5,2.5,12.5,Credit Card
1015,2024-01-15,C015,Monitor,Electronics,south,1,129.99,129.99,Debit Card
1045,2024-01-31,C045,Pen,Stationery,EAST,50,1.2,60.0,Credit Card
